"","carat","cut","color","clarity","depth","table","price","x","y","z"
"15325",1.23,"Ideal","H","SI2",62.4,57,6152,6.79,6.84,4.25
"36450",0.31,"Ideal","D","VS2",62.2,56,942,4.36,4.32,2.7
"32581",0.32,"Good","E","VVS1",59.4,61,801,4.45,4.48,2.65
"1039",0.91,"Premium","J","SI1",62.8,59,2905,6.19,6.14,3.87
"23160",1.52,"Very Good","E","SI1",63.5,58,11176,7.36,7.29,4.65
"4",0.29,"Premium","I","VS2",62.4,58,334,4.2,4.23,2.63
"18140",1.37,"Ideal","I","VS2",61.5,55,7346,7.18,7.2,4.42
"48725",0.52,"Ideal","G","VVS2",62.4,55,2012,5.19,5.17,3.23
"25993",1.66,"Ideal","H","VS1",62,55,15210,7.61,7.67,4.74
"42313",0.41,"Premium","F","VVS1",61.3,59,1295,4.73,4.79,2.92
"34644",0.31,"Ideal","E","VS2",61.6,57,872,4.38,4.35,2.69
"607",0.71,"Ideal","F","VS1",61.5,57,2839,5.74,5.71,3.52
"21540",1.2,"Ideal","F","VS1",62,55,9641,6.81,6.83,4.23
"14146",1.22,"Very Good","E","SI2",63.3,56,5739,6.78,6.75,4.28
"35893",0.32,"Ideal","G","IF",61,57,918,4.44,4.48,2.72
"45119",0.52,"Ideal","E","VS2",61,55,1651,5.2,5.26,3.19
"47948",0.81,"Premium","J","SI1",61.4,60,1917,5.98,5.94,3.66
"20916",1.52,"Good","I","SI1",64,58,9129,7.2,7.27,4.63
"27280",2.14,"Premium","F","SI2",58.2,61,17742,8.5,8.45,4.93
"50513",0.5,"Ideal","D","VVS2",61,56,2272,5.11,5.15,3.13
"47451",0.53,"Ideal","D","VS2",62.1,55,1857,5.17,5.2,3.22
"45864",0.5,"Very Good","D","VS1",63.1,57,1715,5.04,5,3.17
"28978",0.31,"Good","H","VS1",57.5,60,435,4.46,4.51,2.58
"15890",1.01,"Premium","G","VS1",59.9,59,6353,6.51,6.48,3.89
"42535",0.4,"Premium","D","VVS2",60.4,59,1323,4.77,4.76,2.88
"680",0.7,"Very Good","E","VS2",61,60,2850,5.74,5.77,3.51
"22992",2,"Good","G","SI2",58.1,64,11041,8.3,8.27,4.81
"16732",0.4,"Very Good","E","SI2",58.7,57,611,4.88,4.94,2.88
"25460",1.55,"Ideal","F","SI1",61.9,55,14220,7.47,7.42,4.61
"34840",0.3,"Premium","G","VVS2",61.2,58,878,4.34,4.32,2.65
"26625",2.14,"Premium","H","VS2",61.7,58,16390,8.28,8.22,5.09
"46315",0.3,"Good","H","VS1",63.9,55,526,4.26,4.28,2.73
"21078",1.7,"Very Good","J","SI1",63.2,57,9253,7.63,7.55,4.8
